replicateid,zone,population,access,beta,eir,pfpr2to10
14452,1,10818,0.533,0.85,87.411475,60.2327416666667
14454,1,10818,0.533,0.95,96.2151166666666,60.2489666666667
14453,1,10818,0.533,0.90,96.8528833333333,60.947625
14472,1,10818,0.533,1.25,134.96975,62.672675
14471,1,10818,0.533,1.20,133.352416666667,63.5955166666667
14468,1,10818,0.533,1.15,122.4835,64.0142666666667
14455,1,10818,0.533,1.05,116.873166666667,64.399175
14461,1,10818,0.533,1.10,116.570583333333,65.317275
14476,1,10818,0.533,1.45,140.977416666667,65.7885666666667
14464,1,10818,0.533,1.30,139.621,66.4861583333333
14469,1,10818,0.533,1.35,148.820833333333,66.6319583333333
14486,1,10818,0.533,1.60,180.657166666667,67.0637916666667
14478,1,10818,0.533,1.55,166.09425,67.734225
14474,1,10818,0.533,1.40,154.99925,68.1381583333333
14485,1,10818,0.533,1.65,191.159416666667,68.6953166666667
14470,1,10818,0.533,1.50,170.6105,69.061425
14475,1,10818,0.533,1.75,205.33125,69.1681666666667
14465,1,10818,0.533,1.70,193.976833333333,70.7283916666667
14480,1,10818,0.616,0.00,0.0,0.0
15925,1,10818,0.616,0.01,0.0,0.0
16273,1,10818,0.616,0.013,0.0,0.0
16274,1,10818,0.616,0.014,0.0,0.0
16268,1,10818,0.616,0.012,0.0,0.0
16265,1,10818,0.616,0.018,0.000302184166666667,0.0
16264,1,10818,0.616,0.017,0.0,0.0
16263,1,10818,0.616,0.016,0.0,0.0
16262,1,10818,0.616,0.011,0.0,0.0
16261,1,10818,0.616,0.01,0.0,0.0
16257,1,10818,0.616,0.015,0.0,0.0
15930,1,10818,0.616,0.02,0.268861833333333,1.55607241666667
16266,1,10818,0.616,0.019,0.414623916666667,2.14141666666667
16267,1,10818,0.616,0.021,0.401429916666667,2.17750416666667
16278,1,10818,0.616,0.023,0.661706833333333,2.95926
16279,1,10818,0.616,0.024,0.70542075,3.29503083333333
16272,1,10818,0.616,0.022,0.635558916666667,4.00261416666667
16270,1,10818,0.616,0.025,0.619490166666667,4.10838333333333
16269,1,10818,0.616,0.026,0.59144575,4.97038666666667
15935,1,10818,0.616,0.03,1.17844666666667,5.23531666666667
16276,1,10818,0.616,0.028,0.964208333333333,5.60907833333333
16277,1,10818,0.616,0.029,1.18414916666667,5.8658125
16271,1,10818,0.616,0.027,0.712005,6.03749166666667
16275,1,10818,0.616,0.031,1.23314666666667,6.08227083333333
16298,1,10818,0.616,0.034,1.40947,6.20458
16284,1,10818,0.616,0.033,1.16920666666667,6.65756166666667
16282,1,10818,0.616,0.032,1.26202166666667,7.14852833333333
16306,1,10818,0.616,0.035,1.51798166666667,7.17654083333333
15936,1,10818,0.616,0.04,1.7800925,7.94897833333333
16308,1,10818,0.616,0.037,1.62914583333333,8.33177
16291,1,10818,0.616,0.043,1.741815,9.01860666666667
16280,1,10818,0.616,0.038,1.70641083333333,9.17071416666667
16283,1,10818,0.616,0.041,1.77517083333333,9.3447775
16307,1,10818,0.616,0.036,1.7491575,9.44653166666667
16309,1,10818,0.616,0.044,1.99398833333333,9.51395583333333
16286,1,10818,0.616,0.049,2.47477416666667,9.54541416666667
16315,1,10818,0.616,0.046,2.1070925,9.6209975
